,track_name,artist_name,artist_genre,album_name,release_date,album_track_amount,song_duration_minutes,popularity_score,track_number_on_album,term
23,Vitamin R (Leading Us Along),Chevelle,"['alternative metal', 'nu metal', 'post-grunge', 'hard rock']",This Type Of Thinking (Could Do Us In),2004-09-21,11,3.7195574391000004,66,3,medium
24,Hook,Blues Traveler,['jam band'],Four,1994-01-01,12,4.82000964,71,9,medium
0,Antpile 2,Kublai Khan TX,"['hardcore', 'deathcore', 'metalcore']",Exhibition Of Prowess,2024-09-20,10,0.9482852299000001,56,10,long
1,In Bloom,Sturgill Simpson,"['outlaw country', 'alt country', 'bluegrass', 'americana', 'red dirt', 'country']",A Sailor's Guide to Earth,2016-04-15,9,4.010674688,59,5,long
2,Killed By An Angel,Sunny Day Real Estate,"['midwest emo', 'emo', 'post-hardcore', 'math rock']",The Rising Tide,2000-06-20,11,4.9255598511,45,1,long
3,Beer,Reel Big Fish,"['ska', 'ska punk', 'punk']",Turn The Radio Off,1996,15,3.5088903511000002,61,6,long
4,Concorde,"Black Country, New Road","['art rock', 'post-rock', 'post-punk']",Ants From Up There,2022-02-04,10,6.0628954591,58,3,long
5,Better Man,Pearl Jam,"['grunge', 'rock', 'post-grunge']",Vitalogy,1994-11-22,17,4.4764422862,72,11,long
6,Something Special,Pearl Jam,"['grunge', 'rock', 'post-grunge']",Dark Matter,2024-04-19,11,4.1146248959000005,49,9,long
7,Black Sheep - Brie Larson Vocal Version,Metric,[],Black Sheep (Brie Larson Vocal Version),2010,1,4.9010931355,74,1,long
8,The Dolphin's Cry,Live,"['post-grunge', 'grunge']",The Distance To Here,1999-01-01,13,4.402675472,61,1,long
9,Dinosaur,"Hank Williams, Jr.","['outlaw country', 'classic country', 'country', 'honky tonk', 'country rock']",Habits Old And New,1980-06-01,10,3.3277733222,72,2,long
10,Jesus Walks,Kanye West,['rap'],The College Dropout,2004-02-10,21,3.2288897911000003,71,7,long
11,Faint,Linkin Park,"['nu metal', 'rap metal', 'rock', 'alternative metal']",Meteora,2003-03-25,13,2.7017720702,86,7,long
12,Run-Around,Blues Traveler,['jam band'],Four,1994-01-01,12,4.6633426600000005,74,1,long
13,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",Queens of the Stone Age,"['stoner rock', 'alternative rock']",Songs For The Deaf,2002,15,3.2095564191,60,2,long
14,Snot,Snot,"['nu metal', 'rap metal', 'alternative metal', 'funk rock']",Get Some,1997-01-01,15,3.3655567311000003,61,1,long
15,Push,Matchbox Twenty,['post-grunge'],Yourself or Someone Like You,1996-10-01,12,3.9777746222,77,4,long
16,The Rain,The Suitcase Junket,['roots rock'],Dying Star,2016-03-04,7,3.452673572,2,5,long
17,Turtles All the Way Down,Sturgill Simpson,"['outlaw country', 'alt country', 'bluegrass', 'americana', 'red dirt', 'country']",Metamodern Sounds in Country Music,2014-05-13,10,3.1364396062,64,1,long
18,Look Around,Red Hot Chili Peppers,"['funk rock', 'alternative rock', 'rock']",I'm with You,2011-08-29,14,3.4666736,59,6,long
19,Sooner Or Later,Breaking Benjamin,"['alternative metal', 'post-grunge', 'rock', 'hard rock']",We Are Not Alone,2004-01-01,12,3.64667396,56,7,long
20,New Noise,Refused,"['hardcore punk', 'post-hardcore', 'punk', 'hardcore']",The New Noise Theology EP,1998-11-17,4,5.212010424000001,52,1,long
21,State of Love and Trust,Pearl Jam,"['grunge', 'rock', 'post-grunge']",Singles - Original Motion Picture Soundtrack,1992-06-02,13,3.7866742400000004,51,8,long
22,The Diary of Jane - Single Version,Breaking Benjamin,"['alternative metal', 'post-grunge', 'rock', 'hard rock']",Phobia (Clean Version),2006-01-01,13,3.3424400182,79,2,long
23,Mountain Sound,Of Monsters and Men,['folk pop'],My Head Is An Animal,2012-01-01,12,3.5242237151,68,3,long
24,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,"['grunge', 'alternative rock', 'post-grunge', 'rock']",Purple (2019 Remaster),1994-06-07,11,3.2475564951,79,4,long
